off_long,off_lat,pop_up
116.393,39.863,22
116.393,39.88,2
116.393,39.923,5
116.393,40.001,2
116.393,40.078,1
116.394,39.831,2
116.394,39.847,2
116.394,39.859,16
116.394,39.872,14
116.394,39.876,70
116.394,39.897,3
116.394,39.939,6
116.394,39.975,14
116.394,40.229,1
116.395,39.821,1
116.395,39.838,1
116.395,39.894,2
116.395,39.899,5
116.395,39.906,1
116.395,39.967,1
116.396,39.906,74
116.396,39.967,17
116.396,39.987,2
116.396,40.001,3
116.397,40.228,3
116.398,39.855,20
116.398,39.899,1
116.398,39.923,7
116.398,39.975,4
116.399,39.871,6
116.399,39.931,5
116.399,39.939,6
116.399,40.001,12
116.399,40.192,5
116.4,39.886,56
116.4,39.902,2
116.4,39.909,16
116.4,39.918,2
116.4,39.923,5
116.401,39.951,1
116.401,39.955,1
116.401,39.958,15
116.401,39.963,6
116.401,39.97,4
116.401,39.971,5
116.401,39.992,16
116.401,39.996,9
116.401,40.197,1
116.402,39.945,1
116.402,39.952,5
116.402,40.126,20
116.403,39.899,1
116.403,39.923,4
116.403,40.136,2
116.403,40.153,17
116.404,39.887,23
116.404,39.918,4
116.405,39.831,1
116.405,39.917,6
116.405,39.967,1
116.405,39.982,6
116.405,40.001,24
116.405,40.048,1
116.405,40.113,25
116.405,40.145,4
116.406,39.871,2
116.406,39.914,7
116.406,39.923,19
116.406,40.065,2
116.406,40.069,1
116.406,40.083,20
116.406,40.102,13
116.407,39.907,57
116.407,39.923,4
116.407,39.997,16
116.407,40.052,6
116.407,40.055,3
116.407,40.058,3
116.407,40.075,2
116.407,40.206,7
116.407,40.209,1
116.408,39.804,1
116.408,39.899,1
116.408,39.932,22
116.408,40.04,3
116.408,40.08,2
116.409,39.629,2
116.409,39.645,1
116.409,39.899,3
116.409,39.982,31
116.409,39.987,1
116.409,40.217,2
116.41,39.907,66
116.41,39.917,2
116.41,39.935,7
116.41,39.941,6
116.41,39.945,19
116.41,40.006,13
116.41,40.015,9
116.41,40.035,6
116.411,39.785,1
116.411,39.856,21
116.411,39.908,2
116.411,39.912,1
116.411,39.948,5
116.411,39.97,2
116.411,39.994,4
116.411,40.0,4
116.411,40.003,19
116.411,40.026,7
116.411,40.032,1
116.411,40.062,1
116.412,39.893,11
116.412,39.895,2
116.412,39.901,4
116.412,39.923,31
116.412,39.959,6
116.412,39.963,6
116.413,39.888,1
116.413,39.982,5
116.413,40.008,2
116.414,39.87,11
116.414,39.88,4
116.414,39.883,6
116.414,39.895,1
116.414,39.907,4
116.415,39.858,17
116.415,39.865,13
116.415,39.874,3
116.415,39.901,9
116.415,39.997,5
116.416,39.902,1
116.416,39.982,6
116.416,40.122,3
116.417,39.882,9
116.417,39.948,21
116.417,39.986,1
116.417,39.99,2
116.418,39.923,53
116.418,39.963,10
116.418,39.967,8
116.418,39.973,9
116.418,39.98,16
116.418,39.986,26
116.418,40.0,5
116.418,40.066,1
116.419,39.864,6
116.419,39.907,5
116.419,39.927,24
116.419,39.936,3
116.419,39.946,9
116.419,39.951,8
116.419,39.955,18
116.419,39.987,11
116.42,39.908,5
116.42,39.912,20
116.42,39.917,10
116.42,39.919,10
116.42,39.924,9
116.42,39.992,6
116.421,39.857,8
116.421,39.905,5
116.421,40.003,2
116.422,39.839,8
116.422,39.843,15
116.422,39.847,8
116.422,39.853,13
116.422,39.864,19
116.422,39.89,2
116.422,39.907,76
116.423,39.899,10
116.423,39.907,4
116.424,39.882,5
116.424,39.892,2
116.424,39.903,1
116.424,39.982,6
116.424,39.986,10
116.425,39.837,4
116.425,39.903,14
116.425,39.968,10
116.425,39.992,1
116.426,39.882,2
116.426,39.923,21
116.426,40.038,2
116.427,39.864,11
116.427,39.879,3
116.427,39.892,2
116.428,39.896,1
116.428,39.903,1
116.429,39.857,24
116.429,39.88,2
116.429,39.902,7
116.429,39.992,3
116.429,40.067,3
116.43,39.903,30
116.43,39.968,1
116.431,39.857,1
116.431,39.988,3
116.431,40.032,5
116.432,39.853,4
116.432,39.866,23
116.432,39.923,1
116.432,40.075,1
116.433,39.88,34
116.433,39.895,1
116.433,39.966,7
116.433,39.975,1
116.433,40.031,5
116.435,39.907,35
116.435,40.227,3
116.436,39.907,32
116.437,39.857,5
116.437,39.922,2
116.437,39.963,1
116.438,39.857,8
116.438,39.874,58
116.438,39.892,103
116.439,39.883,52
116.439,39.962,3
116.441,39.842,1
116.441,39.984,3
116.442,39.762,1
116.442,39.892,3
116.442,39.907,42
116.442,40.021,12
116.442,40.026,5
116.442,40.227,5
116.443,39.883,58
116.443,39.921,1
116.443,39.963,2
116.444,39.883,15
116.444,39.912,2
116.444,39.917,1
116.444,39.919,4
116.444,39.923,1
116.444,39.931,1
116.445,39.912,5
116.445,39.982,1
116.445,40.019,1
116.446,39.922,2
116.447,39.883,52
116.447,39.892,6
116.447,39.922,4
116.448,39.907,12
116.449,39.81,3
116.449,39.871,34
116.45,39.876,4
116.45,39.885,3
116.451,39.88,14
116.451,39.892,7
116.451,39.987,12
116.451,39.997,10
116.451,40.0,8
116.451,40.231,2
116.452,39.875,2
116.452,39.922,10
116.452,39.954,11
116.452,40.008,17
116.453,39.805,1
116.453,39.906,21
116.453,39.907,69
116.453,39.912,1
116.453,40.117,2
116.454,39.415,1
116.454,39.867,17
116.454,39.874,7
116.454,39.879,17
116.455,39.863,2
116.455,39.875,19
116.455,39.877,2
116.455,39.88,60
116.455,39.885,9
116.455,39.889,1
116.455,39.895,108
