off_long,off_lat,pop_up
116.42,39.924,2
116.42,39.992,2
116.421,39.857,13
116.421,40.003,2
116.422,39.839,7
116.422,39.843,4
116.422,39.847,12
116.422,39.853,8
116.422,39.907,51
116.422,40.065,1
116.423,39.899,10
116.423,39.907,3
116.423,40.116,1
116.424,39.882,1
116.424,39.982,4
116.424,39.986,3
116.424,39.988,1
116.425,39.837,7
116.425,39.858,2
116.425,39.903,6
116.425,39.968,3
116.425,39.992,1
116.425,40.068,3
116.426,39.882,3
116.426,39.923,1
116.427,39.864,3
116.428,39.903,3
116.429,39.857,14
116.429,39.88,3
116.429,39.902,32
116.429,39.992,3
116.429,40.067,1
116.429,40.072,2
116.43,39.903,11
116.43,40.07,1
116.431,39.988,4
116.432,39.866,21
116.432,39.923,2
116.433,39.88,11
116.433,39.895,2
116.433,39.966,2
116.433,40.031,3
116.435,39.907,23
116.435,40.227,7
116.436,39.907,7
116.437,39.857,1
116.437,39.963,1
116.438,39.857,8
116.438,39.874,18
116.438,39.892,17
116.438,39.907,3
116.439,39.856,2
116.439,39.883,21
116.439,39.962,1
116.44,39.841,4
116.44,39.846,1
116.44,39.951,1
116.441,39.984,3
116.442,39.907,32
116.442,39.972,1
116.442,40.227,4
116.443,39.827,1
116.443,39.883,25
116.444,39.883,7
116.444,39.909,3
116.444,39.912,21
116.444,39.917,7
116.444,39.923,2
116.444,39.931,1
116.445,39.982,3
116.446,39.922,2
116.447,39.883,30
116.447,39.922,7
116.448,39.907,8
116.449,39.871,10
116.45,39.876,2
116.45,39.885,1
116.45,39.907,1
116.451,39.864,1
116.451,39.88,12
116.451,39.987,11
116.451,39.988,1
116.451,39.997,4
116.451,40.0,4
116.451,40.231,2
116.452,39.922,9
116.452,39.954,5
116.452,40.008,1
116.453,39.906,4
116.453,39.907,21
116.453,40.117,4
116.454,39.867,12
116.454,39.874,1
116.454,39.879,25
116.455,39.863,1
116.455,39.875,12
116.455,39.88,16
116.455,39.885,5
116.455,39.888,1
116.455,39.889,4
116.455,39.895,29
116.455,39.903,1
116.455,39.938,1
116.455,39.941,1
116.455,39.955,5
116.456,39.906,7
116.456,39.91,7
116.456,39.911,3
116.457,39.87,1
116.457,39.883,16
116.457,39.917,8
116.457,40.019,3
116.458,39.906,4
116.458,39.907,33
116.458,39.949,2
116.46,39.823,2
116.461,39.87,7
116.461,39.872,7
116.461,39.873,6
116.461,39.878,16
116.461,39.882,5
116.461,39.993,2
116.461,40.005,1
116.462,39.87,14
116.462,39.932,1
116.462,39.989,2
116.462,40.234,1
116.463,39.874,1
116.463,39.883,2
116.463,39.907,14
116.463,39.916,1
116.463,39.92,2
116.464,39.907,2
116.464,39.95,1
116.465,39.998,3
116.466,39.416,3
116.466,39.806,7
116.466,39.857,1
116.466,39.922,2
116.466,39.947,4
116.466,40.006,1
116.466,40.009,1
116.467,39.883,8
116.467,39.965,2
116.467,39.983,6
116.467,40.003,1
116.467,40.109,2
116.468,39.87,12
116.468,39.921,5
116.468,39.939,2
116.468,39.942,4
116.469,39.87,1
116.469,39.874,5
116.469,39.907,4
116.47,39.854,1
116.47,39.907,11
116.47,39.986,5
116.471,39.864,3
116.471,39.867,2
116.471,39.87,1
116.471,39.876,3
116.471,39.88,6
116.471,39.885,9
116.471,39.889,9
116.471,39.894,8
116.471,39.895,20
116.471,39.905,4
116.471,39.909,15
116.471,39.911,4
116.471,39.916,5
116.471,39.92,9
116.471,39.932,7
116.472,39.866,1
116.472,39.878,1
116.472,39.916,5
116.472,39.919,13
116.472,39.923,2
116.472,39.928,17
116.472,39.929,8
116.473,39.378,1
116.473,39.8,3
116.473,39.899,10
116.473,39.927,1
116.474,39.87,4
116.474,39.891,13
116.474,39.906,2
116.474,39.971,2
116.474,39.977,1
116.475,39.849,2
116.476,39.396,1
116.476,39.792,1
116.476,40.237,9
116.477,39.866,14
116.477,39.899,9
116.477,39.921,7
116.477,39.932,4
116.478,39.926,1
116.479,39.891,6
116.479,39.914,4
116.479,39.976,2
116.483,39.912,1
116.483,39.933,1
116.483,39.939,1
116.483,39.966,5
116.483,39.972,3
116.483,39.975,1
116.483,39.984,2
116.483,39.985,1
116.483,39.988,1
116.483,40.237,5
116.485,39.952,3
116.486,39.891,12
116.486,39.914,1
116.486,39.932,1
116.487,39.317,1
116.487,39.96,2
116.487,40.236,7
116.488,39.314,1
116.488,39.326,1
116.488,39.327,3
116.488,39.914,2
116.488,39.921,10
116.489,39.789,2
116.489,39.878,3
116.489,39.906,3
116.489,40.214,1
116.49,39.333,1
116.49,39.891,6
116.49,39.905,2
116.49,40.208,4
116.491,39.899,1
116.491,39.905,4
116.491,39.914,1
116.492,39.316,1
116.492,39.914,3
116.492,39.921,1
116.492,39.957,3
116.493,39.953,7
116.494,39.891,5
116.494,39.934,1
116.495,39.682,1
116.495,39.892,3
116.495,39.899,1
116.495,39.923,8
116.495,39.926,3
116.495,39.929,2
116.496,39.875,3
116.496,39.896,1
116.497,39.874,2
116.497,39.914,2
116.498,39.761,8
116.498,39.921,2
116.498,39.935,11
116.499,39.999,7
116.5,39.914,4
116.5,40.005,3
116.502,39.872,20
116.502,39.906,7
